tweet,message,match,polarity
41,"RT Encana moving to the US changing name as Canada becomes a dirty word in the oilpatch Financial Postjkenney Its time to talk about separation,,
",dirty,Negative
42,"RT 23 Countries Blast China at UN Over Xinjiang AbusesAlbaniaAustraliaAustriaBelgiumCanadaDenmarkEstoniaFinlandFranceGermanyIcelandIrelandJapanLatviaLiechtensteinLithuaniaLuxembourgThe NetherlandsNew ZealandNorwaySwedenUKUS,,
",,Neutral
43,"Ending stigma and shame over sanitary pads,,
",stigma,Negative
43,"Ending stigma and shame over sanitary pads,,
",shame,Negative
44,"Ending stigma and shame over sanitary pads,,
",stigma,Negative
44,"Ending stigma and shame over sanitary pads,,
",shame,Negative
45,"Ending stigma and shame over sanitary pads,,
",stigma,Negative
45,"Ending stigma and shame over sanitary pads,,
",shame,Negative
46,"Ending stigma and shame over sanitary pads,,
",stigma,Negative
46,"Ending stigma and shame over sanitary pads,,
",shame,Negative
47,"RT Fmr Encana CEO Gwyn Morgan The past few years have been a nightmare for the Canadian industry where every light at the end of the tunnel has turned out to be train driven by Prime Minister Justin Trudeau barrelling at us from the opposite direction,,
",nightmare,Negative
48,"RT Twitter Im only telling you this bc in the Referendum my flatmates were from NZ Canada amp Australia and NONE of them knew they were allowed to voteSoYOU KNOW YOU CAN VOTE ON DEC 12th IF YOURE A COMMONWEATH CITIZEN IN THE UK RIGHT Register here,,
",,Neutral
49,"RT Ford government argues that the Stickers Act which forces gas stations to display the governments anticarbon tax stickers and imposes significant fines if a station refuses furthers the purposes of freedom of expression,,
",significant,Positive
49,"RT Ford government argues that the Stickers Act which forces gas stations to display the governments anticarbon tax stickers and imposes significant fines if a station refuses furthers the purposes of freedom of expression,,
",refuses,Negative
49,"RT Ford government argues that the Stickers Act which forces gas stations to display the governments anticarbon tax stickers and imposes significant fines if a station refuses furthers the purposes of freedom of expression,,
",freedom,Positive
50,"RT Thats oddSo large corporations should pay less than anywhere else in Canada but university students gotta pay upHeads up UCP those university students can leave just as fast as Encana just didableg,,
",fast,Positive
51,"RT Canada never forget that Peter MacKay was responsible for Stephen Harper the man who said You wont recognize Canada when I am done with it and he is still trying to do that Here they are playing soldier,,
",,Neutral
52,"RT Calgarybased Encana plans to move base to US amid pipeline crunch via calgaryheraldCalgary loses Alberta losesCanada loses NDP winsGreen winsAlarmism wins Who pays the bills,,
",loses,Negative
52,"RT Calgarybased Encana plans to move base to US amid pipeline crunch via calgaryheraldCalgary loses Alberta losesCanada loses NDP winsGreen winsAlarmism wins Who pays the bills,,
",wins,Positive
53,"RT Always a pleasure to see my friend Canadas 20th Prime Minister Mr Jean Chrtien,,
",pleasure,Positive
54,"RT The President holds a rally in Montreal CanadaMAKE CANADA AMERICA AGAIN,,
",,Neutral
55,"SusanFDe He played Canada does that count,,
",,Neutral
56,"Canadas real GDP increased 01 in August from the month before with slight increases across the goods and services sectors offsetting a decrease in wholesale trade Go to Infoline to learn more,,
",,Neutral
57,"RT The government of Canada will force the province of Alberta to shut its 12 coal plants by 2030 They produce 50 of Albertas electricity This year China will increase its coal consumption by about 3 times Canadas total annual consumption Go figure,,
",,Neutral
58,"Baby Shark do do do do do Mommy Shark do do do do do Daddy Shark do do do do do Happy Halloween halloween babyshark edwinjohnbrownett happyhalloween heddingtonhalloween toronto canada sharks,,
",,Neutral
59,"RT No mask no violence Governments of many countries including the US Canada Austria Denmark and France have banned the wearing of masks in public HongKong,,
",,Neutral
60,"NEWS Governor General of Canada recognizes NRP Chief Bryan MacCullochs over 34 years of policing Details here,,
",,Neutral
61,"RT Seriously How can wearing a Nike sports hijab be considered a reason for disqualification for this girl AFTER she crossed the finish line ukrunchat,,
",,Neutral
62,"RT Congratulations to all who are working so hard to smash Canadas petroleum sector Well done And this helps global emissions by,,
",hard,Negative
62,"RT Congratulations to all who are working so hard to smash Canadas petroleum sector Well done And this helps global emissions by,,
",smash,Negative
63,"RT JENICA ATWIN New Brunswicks first Green MP might soon become a household namePoliticsCanBeDifference CanadianGreens JenicaAtwin,,
",,Neutral
64,"I wonder how much more seriously teams like Italy with less players in pro scene take the OWWC Teams like USA UK and Canada play for pride you gotta figure Italy uses this event to try to actually make it and have a chance at even contenders,,
",wonder,Positive
64,"I wonder how much more seriously teams like Italy with less players in pro scene take the OWWC Teams like USA UK and Canada play for pride you gotta figure Italy uses this event to try to actually make it and have a chance at even contenders,,
",like,Positive
64,"I wonder how much more seriously teams like Italy with less players in pro scene take the OWWC Teams like USA UK and Canada play for pride you gotta figure Italy uses this event to try to actually make it and have a chance at even contenders,,
",pride,Positive
65,"Now Hiring Chemistry TenureTrack Faculty Position Trinity Western University Langley British Columbia Canada jobs,,
",,Neutral
66,"Now Hiring FullTime TenureTrack Education Faculty Position Trinity Western University Langley British Columbia Canada jobs,,
",,Neutral
67,"RT Spotify Update Lose You To Love Me Global 2 6371856 plays Canad 1 224303 plays UK 4 1 349996 plays,,
",,Neutral
68,"Now Hiring Nursing TenureTrack Faculty Position MSN Trinity Western University Langley British Columbia Canada jobs,,
",,Neutral
69,"RT CERGrant says the EU says Canada isnt a threat in terms of trade but Britain is right on our doorstep and is a threat Britain will get less than a Canadastyle deal WhatNextBrexit,,
",threat,Negative
69,"RT CERGrant says the EU says Canada isnt a threat in terms of trade but Britain is right on our doorstep and is a threat Britain will get less than a Canadastyle deal WhatNextBrexit,,
",right,Positive
70,"RT Holy Halloween Spirit,,
",,Neutral
71,"RT I pray that the people coming into Canada will have a spiritual awakening amp turn to Christ The great replacement could blow up in the globalist face amp destroys the the liberal agendas Maybe we can be closed Sundays again MCGA Strong amp FreeJesusIsKing,,
",spiritual,Positive
71,"RT I pray that the people coming into Canada will have a spiritual awakening amp turn to Christ The great replacement could blow up in the globalist face amp destroys the the liberal agendas Maybe we can be closed Sundays again MCGA Strong amp FreeJesusIsKing,,
",great,Positive
71,"RT I pray that the people coming into Canada will have a spiritual awakening amp turn to Christ The great replacement could blow up in the globalist face amp destroys the the liberal agendas Maybe we can be closed Sundays again MCGA Strong amp FreeJesusIsKing,,
",blow,Negative
72,"MalamberAlex Should be fun Quick question In Canada do you guys have to put on some kind of entertainment in order to earn candy Its kind of expected where I live and I was just curious about how other countries do it,,
",fun,Positive
73,"RT Our Administration traveled across the country promoting a trade deal that will greatly benefit Americas farmers ranchers and manufacturers a trade deal that has been sitting on Speaker Pelosis desk for over a YEAR,,
",benefit,Positive
74,"My comment It happens to be a Canadian Island,,
",,Neutral
75,"RT Queued up and ready to go Today three additional countries join the Minecraft Earth early access Say hi to South Korea Canada PhilippinesMore information at,,
",ready,Positive
76,"RT Twitter Im only telling you this bc in the Referendum my flatmates were from NZ Canada amp Australia and NONE of them knew they were allowed to voteSoYOU KNOW YOU CAN VOTE ON DEC 12th IF YOURE A COMMONWEATH CITIZEN IN THE UK RIGHT Register here,,
",,Neutral
77,"RT Braid Justin Trudeaus crocodile smile for the West via calgaryheraldFollowing in his fathers footsteps to obliterate any sense of hope and commitment to Canada that the West could show in light of his economic disasters Hardly a leader,,
",smile,Positive
77,"RT Braid Justin Trudeaus crocodile smile for the West via calgaryheraldFollowing in his fathers footsteps to obliterate any sense of hope and commitment to Canada that the West could show in light of his economic disasters Hardly a leader,,
",obliterate,Negative
77,"RT Braid Justin Trudeaus crocodile smile for the West via calgaryheraldFollowing in his fathers footsteps to obliterate any sense of hope and commitment to Canada that the West could show in light of his economic disasters Hardly a leader,,
",commitment,Positive
78,"RT Im afraid to go out there These Canadian islands are warming at double the global average Here climate change is a daily worry as cliffs fall into the sea and entire blocks are surrendered to rising sea levels via bradydennis,,
",afraid,Negative
78,"RT Im afraid to go out there These Canadian islands are warming at double the global average Here climate change is a daily worry as cliffs fall into the sea and entire blocks are surrendered to rising sea levels via bradydennis,,
",worry,Negative
78,"RT Im afraid to go out there These Canadian islands are warming at double the global average Here climate change is a daily worry as cliffs fall into the sea and entire blocks are surrendered to rising sea levels via bradydennis,,
",fall,Negative
79,"RT Bombardier or an auto plant wants to leave Canada Endless government cash and incentives Encana leaves Calgary crickets The hypocrisy is maddening,,
",hypocrisy,Negative
80,"RT Happy Halloween Canada Well be RTing your best costume pics all morning so please send them along,,
",best,Positive
81,"if u live in surrey dont phone the ministry go to their office on king george in whalley the guy answerred saying their some other service provider like bc canada or something and their lines are running off the same line,,
",like,Positive
82,"wastelndwalker saeen90 AnnCoulter To be fair she was arguing that Canada was a good friend and ally and joined the US in Vietnam Canada sent NO troops The countrys military was not involvedAnd further Canada harbored 30000 draft dodgers during the Vietnam war,,
",fair,Positive
82,"wastelndwalker saeen90 AnnCoulter To be fair she was arguing that Canada was a good friend and ally and joined the US in Vietnam Canada sent NO troops The countrys military was not involvedAnd further Canada harbored 30000 draft dodgers during the Vietnam war,,
",good,Positive
83,"RT Encanas CEO says the decision to move has nothing to do with politics so why is Scheer lying again Also why is the Ugly American concerned about the company taking Canada out of its name Youd think hed be proud But I guess a loser is a loser,,
",lying,Negative
83,"RT Encanas CEO says the decision to move has nothing to do with politics so why is Scheer lying again Also why is the Ugly American concerned about the company taking Canada out of its name Youd think hed be proud But I guess a loser is a loser,,
",concerned,Negative
83,"RT Encanas CEO says the decision to move has nothing to do with politics so why is Scheer lying again Also why is the Ugly American concerned about the company taking Canada out of its name Youd think hed be proud But I guess a loser is a loser,,
",proud,Positive
83,"RT Encanas CEO says the decision to move has nothing to do with politics so why is Scheer lying again Also why is the Ugly American concerned about the company taking Canada out of its name Youd think hed be proud But I guess a loser is a loser,,
",loser,Negative
84,"Dissappointed that WaveHQ has decided to drop support for bank connections outside the US amp Canada Been with them for many years Time to move on Be interesting to see subscriptions numbers of WaveHQ Xero QuickBooks amp others Migration tools anyone,,
",support,Positive
84,"Dissappointed that WaveHQ has decided to drop support for bank connections outside the US amp Canada Been with them for many years Time to move on Be interesting to see subscriptions numbers of WaveHQ Xero QuickBooks amp others Migration tools anyone,,
",interesting,Positive
85,"RT WATCH SteveScalise on what Congress could be accomplishing if it werent for Nancy Pelosis infatuation with impeachment We could have lower prescription drug pricesOur troops could be properly fundedWe could have better trade relations with Canada and Mexico,,
",properly,Positive
85,"RT WATCH SteveScalise on what Congress could be accomplishing if it werent for Nancy Pelosis infatuation with impeachment We could have lower prescription drug pricesOur troops could be properly fundedWe could have better trade relations with Canada and Mexico,,
",better,Positive
86,"This is a mood from Canada with embarrassment,,
",,Neutral
87,"RT California fires Goats help save Ronald Reagan Presidential Library,,
",,Neutral
88,"RT With Ford cutting 450 jobs and GM having lost a billion recently over a strike This is the Trudeau effect on Canada And now the libtards of Vancouver are going to have a transit strike which will Haha put their city into chaos and many not able to make it to their jobs lol,,
",lost,Negative
88,"RT With Ford cutting 450 jobs and GM having lost a billion recently over a strike This is the Trudeau effect on Canada And now the libtards of Vancouver are going to have a transit strike which will Haha put their city into chaos and many not able to make it to their jobs lol,,
",strike,Negative
88,"RT With Ford cutting 450 jobs and GM having lost a billion recently over a strike This is the Trudeau effect on Canada And now the libtards of Vancouver are going to have a transit strike which will Haha put their city into chaos and many not able to make it to their jobs lol,,
",chaos,Negative
89,"PoliticalChunks I love this PhotoOfTheDay because it is true Alberta is the only province that does any real work here in Canada,,
",love,Positive
89,"PoliticalChunks I love this PhotoOfTheDay because it is true Alberta is the only province that does any real work here in Canada,,
",work,Positive
90,"VanStreetDog Ban them from Canada What a horrible thing to do,,
",horrible,Negative
91,"RT We could have better trade relations with Canada and Mexico but Pelosi is infatuated with impeachment We could have our military properly funded but Pelosi is infatuated with impeachment SteveScalise points out the House isnt doing the Peoples Business realDonaldTrump,,
",better,Positive
91,"RT We could have better trade relations with Canada and Mexico but Pelosi is infatuated with impeachment We could have our military properly funded but Pelosi is infatuated with impeachment SteveScalise points out the House isnt doing the Peoples Business realDonaldTrump,,
",properly,Positive
92,"RT 6 d 2 plans to spend 8 10B more on the twinning of TMX sent another 16B your way when things really got bad and didnt bat an eye before helping with the Fort Mac wildfiresIts not like you get NOTHING for your contribution to CanadaAcknowledge it,,
",bad,Negative
92,"RT 6 d 2 plans to spend 8 10B more on the twinning of TMX sent another 16B your way when things really got bad and didnt bat an eye before helping with the Fort Mac wildfiresIts not like you get NOTHING for your contribution to CanadaAcknowledge it,,
",helping,Positive
92,"RT 6 d 2 plans to spend 8 10B more on the twinning of TMX sent another 16B your way when things really got bad and didnt bat an eye before helping with the Fort Mac wildfiresIts not like you get NOTHING for your contribution to CanadaAcknowledge it,,
",like,Positive
92,"RT 6 d 2 plans to spend 8 10B more on the twinning of TMX sent another 16B your way when things really got bad and didnt bat an eye before helping with the Fort Mac wildfiresIts not like you get NOTHING for your contribution to CanadaAcknowledge it,,
",contribution,Positive
93,"RT Another Canadian energy company is packing up moving south of the border and changing its name because it cant get anywhere in Justin Trudeaus Canada Trudeaus policies are dividing the nation and damaging the economy He must change course now,,
",damaging,Negative
94,"RT Queued up and ready to go Today three additional countries join the Minecraft Earth early access Say hi to South Korea Canada PhilippinesMore information at,,
",ready,Positive
95,"The US is sinking Maybe its time for Canada to jump ship,,
",sinking,Negative
96,"RT Take action with ATUCanada Pledge Support for National Public Intercity Transit here,,
",,Neutral
97,"RT To those that believe we need to abandon fossil fuels there is really only one way to do this Canada is a world leader in nuclear research,,
",,Neutral
98,"RT Did anyone lose this Found near the lake after the Skate Canada Maybe someone who stayed at Delta Hotel Please message me if you think this is yours,,
",lose,Negative
99,"Cannabis Crown Corporations Still Losing Moneycannabis cannabiscommunity deanblundell deanblundelldocom fuckcancer,,
",,Neutral
100,"RT He also said that they are not planning on investing any less money in Canada But facts amirite,,
",,Neutral
101,"theunbeliever7 PnPCBC Watch the show and youll hear that Albertas economy is the most diversified in Canada What isnt diversified is the reliance on energy royalties to balance the provincial budget,,
",diversified,Positive
102,"RT WAKETHEFCKUPCANADAThey are taking away our rights and freedoms on sliver at a time Nazi Propaganda toolChristians Christianity TOpoli cdnpoli Canada CanadaProud Ontario Ontarioproud onpoli halloween2019 abpoli,,
",freedoms,Positive
103,"RT Make no mistake this is not simply a rollback for a few public servants This is an attack on wages for your kids teacher the nurse who cares for your loved ones the social worker who supports the most vulnerable and many hardworking Albertans ableg,,
",mistake,Negative
103,"RT Make no mistake this is not simply a rollback for a few public servants This is an attack on wages for your kids teacher the nurse who cares for your loved ones the social worker who supports the most vulnerable and many hardworking Albertans ableg,,
",attack,Negative
103,"RT Make no mistake this is not simply a rollback for a few public servants This is an attack on wages for your kids teacher the nurse who cares for your loved ones the social worker who supports the most vulnerable and many hardworking Albertans ableg,,
",loved,Positive
103,"RT Make no mistake this is not simply a rollback for a few public servants This is an attack on wages for your kids teacher the nurse who cares for your loved ones the social worker who supports the most vulnerable and many hardworking Albertans ableg,,
",supports,Positive
103,"RT Make no mistake this is not simply a rollback for a few public servants This is an attack on wages for your kids teacher the nurse who cares for your loved ones the social worker who supports the most vulnerable and many hardworking Albertans ableg,,
",vulnerable,Negative
104,"RT Two years ago the BBC made a doc so transphobic it was banned in Canada Channel 4 made their own doc a year laterRecently BBC made a doc about trans sportspeople fronted by a sports legend who entered the debate by calling them cheatsTerrified,,
",,Neutral
105,"RT Policy matters We are losing a Canadian company today Canada is not competitive Let this be a National wake up callcdnpoli Gwyn Morgan A great national energy champion is leaving Canada thanks to Trudeau Financial Post,,
",losing,Negative
105,"RT Policy matters We are losing a Canadian company today Canada is not competitive Let this be a National wake up callcdnpoli Gwyn Morgan A great national energy champion is leaving Canada thanks to Trudeau Financial Post,,
",competitive,Positive
105,"RT Policy matters We are losing a Canadian company today Canada is not competitive Let this be a National wake up callcdnpoli Gwyn Morgan A great national energy champion is leaving Canada thanks to Trudeau Financial Post,,
",great,Positive
105,"RT Policy matters We are losing a Canadian company today Canada is not competitive Let this be a National wake up callcdnpoli Gwyn Morgan A great national energy champion is leaving Canada thanks to Trudeau Financial Post,,
",champion,Positive
106,"When your mom is a convicted terrorist and member of the PFLP classified as a terrorist organization by Israel Canada the United States the EU Australia and Japan responsible for numerous suicide bombings And you whine Actions have consequences habibti,,
",suicide,Negative
106,"When your mom is a convicted terrorist and member of the PFLP classified as a terrorist organization by Israel Canada the United States the EU Australia and Japan responsible for numerous suicide bombings And you whine Actions have consequences habibti,,
",whine,Negative
107,"harmeetHD I jokingly told people I should wear my Canada shirt put on brownface to make myself darker and Id be playing Justin Trudeau,,
",darker,Negative
108,"GTWScar International Scar Woooo I hear Canadas good I think you should come to the UK of course because I live there but theres that inconveniently large ocean in the way,,
",good,Positive
108,"GTWScar International Scar Woooo I hear Canadas good I think you should come to the UK of course because I live there but theres that inconveniently large ocean in the way,,
",inconveniently,Negative
109,"One of my favorite moments of the week was when a student declared they were moving to Canada because they didnt have enough money in their checking account to pay their medical bill youweresupposedtochooseCreditCard personalfinance tce5th,,
",favorite,Positive
109,"One of my favorite moments of the week was when a student declared they were moving to Canada because they didnt have enough money in their checking account to pay their medical bill youweresupposedtochooseCreditCard personalfinance tce5th,,
",enough,Positive
110,"Knitting the Geospatial Community Quilt OGCs opengeospatial September 2019 TC Meeting in Banff Canada,,
",,Neutral
111,"DanielDaniels TomiLahren First Sen Ted Cruz was Born in Canada to American parents so he does have dual citizenship and second,,
",,Neutral
112,"THANKS FOR THE HUNDREDS OF BILLIONS IN TAXPAYERS SUBSIDIES FUCKIN SUCKERS Go UCPAbLeg abpoli yyc yeg cdnpoli Encana Rednexit WEXITALBERTA Energy giant Encana to move HQ from Calgary to the US,,
",,Neutral
113,"RT Two of my favorite Prime MinistersBoth lowered Canadas deficit outside of recessions and grew our economy nationwide at the same time in partnership with and not against the provinces I wish we had the same level of national unity we had under themcdnpoli cpc lpc,,
",favorite,Positive
113,"RT Two of my favorite Prime MinistersBoth lowered Canadas deficit outside of recessions and grew our economy nationwide at the same time in partnership with and not against the provinces I wish we had the same level of national unity we had under themcdnpoli cpc lpc,,
",unity,Positive
114,"RT Its crazy that we spend billions of dollars importing Saudi oil every year We need to replace every drop of Saudi oil with madeinCanada energy,,
",crazy,Negative
115,"RT The past few years have been a nightmare for the Canadian industry where every light at the end of the tunnel has turned out to be train driven by Prime Minister Justin Trudeau barrelling at us from the opposite direction cdnpoli,,
",nightmare,Negative
116,"RT Canada is the only country in the world trying to shut down its energy production and everyone else is expanding WHY IS THAT,,
",,Neutral
117,"AlexBee44668124 CBCAlerts CBCNews I have no aspirations of power but I do understand wanting to protect and promote Canadian culture Canada is more than the sum of its diverse parts It represents live and let live freedom equality social responsibilityNot all people or cultures agree with those values,,
",aspirations,Positive
117,"AlexBee44668124 CBCAlerts CBCNews I have no aspirations of power but I do understand wanting to protect and promote Canadian culture Canada is more than the sum of its diverse parts It represents live and let live freedom equality social responsibilityNot all people or cultures agree with those values,,
",protect,Positive
117,"AlexBee44668124 CBCAlerts CBCNews I have no aspirations of power but I do understand wanting to protect and promote Canadian culture Canada is more than the sum of its diverse parts It represents live and let live freedom equality social responsibilityNot all people or cultures agree with those values,,
",freedom,Positive
118,"RT Pelosi US House close to approving trade deal with Mexico Canada,,
",,Neutral
119,"RT Halloween LightUp Skeleton and El Masks sold at Giant Tiger Stores Limited recalled by Health Canada due to potential burn hazard,,
",burn,Negative
120,"RT Bombardier or an auto plant wants to leave Canada Endless government cash and incentives Encana leaves Calgary crickets The hypocrisy is maddening,,
",hypocrisy,Negative
121,"RT Good news Goats have helped to save the Ronald Reagan Library by advance grazing off fire breaks 800 plus goats were deployed by this farmer,,
",helped,Positive
121,"RT Good news Goats have helped to save the Ronald Reagan Library by advance grazing off fire breaks 800 plus goats were deployed by this farmer,,
",breaks,Negative
122,"RT Statistics Canada Dark blue is natural population increase light blue is population increase via immigration This is what we mean by the Great Replacement,,
",,Neutral
123,"FrankHassanCODE ZackSlater54 Laurentian Canada snobbery,,
",,Neutral
124,"RT First vote on impeachment inquiry into President Donald Trump passes US House of Representatives,,
",,Neutral
125,"RT A brutal example of the cuts the UCP are making while wealthy corporations like Encana received their chunk of the 47 billion corporate giveaway ableg ABbudget Hundreds in Wood Buffalo will struggle to pay rent with planned cuts in Alberta budget,,
",brutal,Negative
